,year,team,nickname
756,2025,Slippery Rock,The Rock
757,2025,SMU,Mustangs
758,2025,Sonoma St.,Seawolves
759,2025,South Ala.,Jaguars
760,2025,South Carolina,Gamecocks
761,2025,South Carolina St.,Bulldogs
762,2025,South Dakota,Coyotes
763,2025,South Dakota Mines,Hardrockers
764,2025,South Dakota St.,Jackrabbits
765,2025,South Fla.,Bulls
766,2025,Southeast Mo. St.,Redhawks
767,2025,Southeastern La.,Lions
768,2025,Southeastern Okla.,Savage Storm
769,2025,Southern Ark.,Muleriders
770,2025,Southern California,Trojans
771,2025,Southern Conn. St.,Owls
772,2025,Southern Ill.,Salukis
773,2025,Southern Ind.,Screaming Eagles
774,2025,Southern Me.,Huskies
775,2025,Southern Miss.,Golden Eagles
776,2025,Southern Nazarene,Crimson Storm
777,2025,Southern N.H.,Penmen
778,2025,Southern U.,Jaguars
779,2025,Southern Utah,Thunderbirds
780,2025,Southern Virginia,Knights
781,2025,Southern Wesleyan,Warriors
782,2025,Southwest Baptist,Bearcats
783,2025,Southwest Minn. St.,Mustangs
784,2025,Southwestern Okla.,Bulldogs
785,2025,Southwestern (TX),Pirates
