,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
339,Mount St. Mary's,52,Maryland,86,Maryland,57.875,-34,23.875
340,Fredonia,78,Buffalo,87,Buffalo,29.031980514526367,-9,20.031980514526367
341,Howard,62,Missouri,77,Missouri,57.5,-15,42.5
342,East Texas A&M,55,Texas A&M,87,Texas A&M,57.0,-32,25.0
343,Concordia (MI),46,Valparaiso,111,Valparaiso,38.071725845336914,-65,-26.928274154663086
344,Dallas Christian,36,A&M-Corpus Christi,87,A&M-Corpus Christi,41.939515113830566,-51,-9.060484886169434
345,Yale,79,UIC,91,UIC,44.3359375,-12,32.3359375
346,SIUE,58,Illinois,90,Illinois,65.25,-32,33.25
347,Nelson,67,Northern Ariz.,115,Northern Ariz.,34.625,-48,-13.375
348,Missouri S&T,64,Southern Ill.,86,Southern Ill.,35.197919845581055,-22,13.197919845581055
349,Harvard,80,Navy,85,Navy,33.2579345703125,-5,28.2579345703125
350,NJIT,54,Villanova,91,Villanova,52.3607063293457,-37,15.360706329345703
351,Princeton,75,Duquesne,68,Duquesne,40.58595371246338,7,47.58595371246338
352,UC Riverside,80,BYU,86,BYU,54.12101936340332,-6,48.12101936340332
353,Northern Colo.,88,Colorado,90,Colorado,48.16218948364258,-2,46.16218948364258
354,George Mason,63,Marquette,82,Marquette,61.0,-19,42.0
355,Northwestern St.,65,Texas Tech,86,Texas Tech,59.66176128387451,-21,38.66176128387451
356,Long Beach St.,79,South Dakota St.,80,South Dakota St.,44.0,-1,43.0
357,San Jose St.,67,Pacific,80,Pacific,33.000003814697266,-13,20.000003814697266
358,Tennessee St.,79,Colorado St.,87,Colorado St.,45.25,-8,37.25
359,Sacramento St.,57,Fresno St.,64,Fresno St.,33.3125,-7,26.3125
360,UC Irvine,66,LMU (CA),51,LMU (CA),37.18318176269531,15,52.18318176269531
361,Boston U.,60,San Diego,74,San Diego,29.0,-14,15.0
362,Montana,48,Oregon,79,Oregon,61.0,-31,30.0
363,Weber St.,48,Oregon St.,76,Oregon St.,50.53125,-28,22.53125
364,Bradley,74,Washington St.,91,Washington St.,48.521002769470215,-17,31.521002769470215
365,New Mexico,72,UCLA,64,UCLA,58.53903007507324,8,66.53903007507324
366,LIFE Pacific,61,Hawaii,96,Hawaii,40.7294921875,-35,5.7294921875
367,Tennessee,77,Louisville,55,Louisville,59.125,22,81.125
368,Pratt,42,LIU,102,LIU,30.25,-60,-29.75
369,Fordham,57,Seton Hall,56,Seton Hall,42.18145751953125,1,43.18145751953125
370,Little Rock,67,Winthrop,82,Winthrop,39.75,-15,24.75
371,Wright St.,81,Miami (OH),68,Miami (OH),40.250061988830566,13,53.250061988830566
372,Manor,52,Wagner,94,Wagner,26.8203125,-42,-15.1796875
373,Sacred Heart,76,Dartmouth,81,Dartmouth,31.20465087890625,-5,26.20465087890625
374,Rider,64,Coppin St.,53,Coppin St.,20.3856201171875,11,31.3856201171875
375,Delaware St.,62,Columbia,83,Columbia,39.875816345214844,-21,18.875816345214844
376,Colgate,56,Drexel,73,Drexel,39.359375,-17,22.359375
377,Quinnipiac,73,St. John's (NY),96,St. John's (NY),57.9224910736084,-23,34.9224910736084
378,Jackson St.,71,High Point,80,High Point,44.0,-9,35.0
379,Toledo,90,Marshall,80,Marshall,40.74160385131836,10,50.74160385131836
380,Brescia,49,Evansville,96,Evansville,31.3125,-47,-15.6875
381,Houghton,62,Mercyhurst,88,Mercyhurst,26.98967933654785,-26,0.9896793365478516
382,VMI,76,Bellarmine,71,Bellarmine,24.193302154541016,5,29.193302154541016
383,Morgan St.,66,Longwood,84,Longwood,36.133544921875,-18,18.133544921875
384,Ark.-Pine Bluff,80,Tulsa,103,Tulsa,32.15625,-23,9.15625
385,Omaha,64,Minnesota,68,Minnesota,43.25,-4,39.25
386,Lafayette,60,La Salle,81,La Salle,45.20273303985596,-21,24.202733039855957
387,Coastal Carolina,59,East Carolina,63,East Carolina,39.5,-4,35.5
388,St. Bonaventure,87,Canisius,78,Canisius,20.404296875,9,29.404296875
389,Old Dominion,44,Arizona,102,Arizona,61.180580139160156,-58,3.1805801391601562
390,Cleveland St.,64,Kansas St.,77,Kansas St.,45.033705711364746,-13,32.033705711364746
391,Bucknell,72,Kentucky,100,Kentucky,64.28585815429688,-28,36.285858154296875
392,UTEP,60,Utah Valley,89,Utah Valley,40.4375,-29,11.4375
393,Fairfield,57,Georgetown,69,Georgetown,49.0,-12,37.0
394,Charlotte,74,Utah St.,103,Utah St.,57.0,-29,28.0
395,Penn St.-Schuylkill,77,UMES,96,UMES,22.0,-19,3.0
396,MUW,44,Nicholls,93,Nicholls,38.32915496826172,-49,-10.670845031738281
397,Alcorn,56,Xavier (LA),62,Xavier (LA),,-6,
398,Wofford,69,Lipscomb,78,Lipscomb,47.21303939819336,-9,38.21303939819336
399,Troy,78,New Orleans,61,New Orleans,26.507568359375,17,43.507568359375
400,Marist,79,Richmond,72,Richmond,37.78327751159668,7,44.78327751159668
401,Stonehill,49,Providence,76,Providence,46.339834213256836,-27,19.339834213256836
402,Memphis,80,UNLV,74,UNLV,46.0,6,52.0
403,James Madison,69,Norfolk St.,83,Norfolk St.,41.138671875,-14,27.138671875
404,Louisiana Tech,92,UT Arlington,77,UT Arlington,33.515625,15,48.515625
405,UC Santa Barbara,94,Portland,53,Portland,30.397907257080078,41,71.39790725708008
406,Montana St.,69,Wichita St.,89,Wichita St.,41.0,-20,21.0
407,SUNY Oneonta,69,UAlbany,89,UAlbany,32.86102294921875,-20,12.86102294921875
408,Florida St.,73,Rice,65,Rice,39.31210708618164,8,47.31210708618164
409,Middle Tenn.,79,Abilene Christian,56,Abilene Christian,31.8193359375,23,54.8193359375
410,Vermont,51,Merrimack,65,Merrimack,37.40948486328125,-14,23.40948486328125
411,UNC Asheville,76,Ohio,82,Ohio,43.0,-6,37.0
412,SUNY Poly,73,Le Moyne,107,Le Moyne,23.8787841796875,-34,-10.1212158203125
413,Lancaster Bible,42,Loyola Maryland,83,Loyola Maryland,33.0,-41,-8.0
414,Arkansas,67,Baylor,72,Baylor,60.4375,-5,55.4375
415,Northwestern,66,Dayton,71,Dayton,54.8515625,-5,49.8515625
416,Western Ky.,72,Grand Canyon,74,Grand Canyon,44.5,-2,42.5
417,Bluefield Univ.,66,Elon,103,Elon,45.33986282348633,-37,8.339862823486328
418,Liberty,66,Seattle U,64,Seattle U,37.345672607421875,2,39.345672607421875
419,Bethune-Cookman,58,Nebraska,63,Nebraska,57.375003814697266,-5,52.375003814697266
420,Kennesaw St.,84,California Baptist,88,California Baptist,39.3125,-4,35.3125
421,Youngstown St.,80,Chicago St.,60,Chicago St.,20.447998046875,20,40.447998046875
422,New Hampshire,53,UConn,92,UConn,60.875,-39,21.875
423,Sam Houston,91,Tarleton St.,62,Tarleton St.,34.419921875,29,63.419921875
424,FIU,75,Southern Utah,80,Southern Utah,37.0,-5,32.0
425,New Mexico St.,75,Utah Tech,63,Utah Tech,31.5,12,43.5
426,Auburn,74,Houston,69,Houston,70.46302032470703,5,75.46302032470703
427,Pepperdine,76,UC San Diego,94,UC San Diego,53.801963806152344,-18,35.801963806152344
428,Washington,53,Nevada,63,Nevada,50.19791030883789,-10,40.19791030883789
429,Boise St.,73,San Francisco,84,San Francisco,49.37135601043701,-11,38.37135601043701
430,Eastern Ill.,55,Indiana,90,Indiana,53.68782424926758,-35,18.687824249267578
431,App State,56,Wisconsin,87,Wisconsin,60.2333984375,-31,29.2333984375
432,North Florida,105,Georgia Tech,93,Georgia Tech,42.76759338378906,12,54.76759338378906
433,Southeast Mo. St.,76,Vanderbilt,85,Vanderbilt,56.339805603027344,-9,47.339805603027344
434,Michigan,70,Wake Forest,72,Wake Forest,44.25,-2,42.25
435,Niagara,78,Detroit Mercy,84,Detroit Mercy,31.45989990234375,-6,25.45989990234375
436,Harvard,55,American,67,American,39.29530048370361,-12,27.295300483703613
437,Maine,69,Brown,67,Brown,33.9765625,2,35.9765625
438,UC Irvine,80,UNI,60,UNI,45.306640625,20,65.306640625
439,Chatham,51,Robert Morris,79,Robert Morris,38.625,-28,10.625
440,Princeton,79,Northeastern,76,Northeastern,37.03664207458496,3,40.03664207458496
441,Eureka,53,Loyola Chicago,105,Loyola Chicago,38.7574462890625,-52,-13.2425537109375
442,SFA,51,Drake,66,Drake,48.5859375,-15,33.5859375
443,Binghamton,64,Miami (FL),88,Miami (FL),41.625,-24,17.625
444,Saint Francis,65,Campbell,64,Campbell,35.72271728515625,1,36.72271728515625
445,St. Thomas (MN),71,Oklahoma St.,80,Oklahoma St.,39.90119171142578,-9,30.90119171142578
446,Southeastern La.,72,UAB,82,UAB,44.797149658203125,-10,34.797149658203125
447,Mt. Marty,47,South Dakota,77,South Dakota,35.0,-30,5.0
448,Texas Southern,64,Georgia,92,Georgia,52.610870361328125,-28,24.610870361328125
449,Avila,44,Saint Louis,95,Saint Louis,40.56315994262695,-51,-10.436840057373047
450,Tennessee St.,66,Wyoming,81,Wyoming,39.19597625732422,-15,24.19597625732422
451,Arizona St.,80,Gonzaga,88,Gonzaga,60.60603332519531,-8,52.60603332519531
452,FDU,70,Creighton,96,Creighton,55.25,-26,29.25
453,Alabama St.,61,LSU,74,LSU,48.25,-13,35.25
454,Pacific,94,LIFE Pacific,41,LIFE Pacific,,53,
455,Champion Chris.,60,UTRGV,110,UTRGV,39.515625,-50,-10.484375
456,Menlo,66,Cal Poly,99,Cal Poly,37.0,-33,4.0
457,San Jose St.,69,Hawaii,80,Hawaii,40.7294921875,-11,29.7294921875
458,Northwest Indian,44,Montana,94,Montana,36.04423522949219,-50,-13.955764770507812
459,Dillard,73,Howard,91,Howard,33.201011657714844,-18,15.201011657714844
460,LIU,63,Air Force,54,Air Force,33.0,9,42.0
461,Stetson,52,The Citadel,74,The Citadel,26.302054405212402,-22,4.302054405212402
462,Youngstown St.,47,Ohio St.,81,Ohio St.,57.4454345703125,-34,23.4454345703125
463,Valley Forge,61,UMBC,120,UMBC,35.610870361328125,-59,-23.389129638671875
464,Winthrop,52,Virginia Tech,58,Virginia Tech,44.0,-6,38.0
465,Jacksonville,69,Furman,78,Furman,45.0,-9,36.0
466,Coppin St.,45,Virginia,62,Virginia,42.0,-17,25.0
467,McNeese,64,Alabama,72,Alabama,62.875,-8,54.875
468,Augusta,69,Ga. Southern,79,Ga. Southern,35.568359375,-10,25.568359375
469,VTSU-Johnson,68,Central Conn. St.,117,Central Conn. St.,39.494476318359375,-49,-9.505523681640625
470,Western Mich.,65,Butler,85,Butler,48.984375,-20,28.984375
471,Gardner-Webb,64,Pittsburgh,83,Pittsburgh,54.0,-19,35.0
472,Southern Ind.,63,Marshall,77,Marshall,40.74160385131836,-14,26.74160385131836
473,Taylor (IN),43,Bowling Green,107,Bowling Green,37.35507678985596,-64,-26.644923210144043
474,Saint Peter's,65,Rutgers,75,Rutgers,46.2373046875,-10,36.2373046875
475,Eastern Wash.,77,Missouri,84,Missouri,57.5,-7,50.5
476,UT Martin,69,North Ala.,87,North Ala.,43.0,-18,25.0
477,Stony Brook,56,George Mason,94,George Mason,49.25,-38,11.25
478,Buffalo,77,Notre Dame,86,Notre Dame,49.0,-9,40.0
479,Morris,50,Charleston So.,108,Charleston So.,29.0,-58,-29.0
480,Voorhees,48,South Carolina St.,94,South Carolina St.,34.375,-46,-11.625
481,Florida A&M,53,Maryland,84,Maryland,57.875,-31,26.875
482,Grambling,62,Florida,86,Florida,60.25,-24,36.25
483,Alcorn,51,Tulane,84,Tulane,39.40625,-33,6.40625
484,Chattanooga,61,Austin Peay,67,Austin Peay,27.802383422851562,-6,21.802383422851562
485,Kansas City,56,Iowa St.,82,Iowa St.,67.490234375,-26,41.490234375
486,Northwestern St.,57,Oklahoma,73,Oklahoma,51.25,-16,35.25
487,Lamar University,71,Texas A&M,97,Texas A&M,57.0,-26,31.0
488,Yale,84,Purdue,92,Purdue,58.23876953125,-8,50.23876953125
489,UNC Greensboro,68,SMU,81,SMU,54.0,-13,41.0
490,Ark. Baptist,57,Alabama A&M,103,Alabama A&M,20.82607936859131,-46,-25.17392063140869
491,Mo. Southern St.,61,Missouri St.,90,Missouri St.,34.89060592651367,-29,5.890605926513672
492,Mercer,64,DePaul,95,DePaul,45.95645523071289,-31,14.95645523071289
493,Northwest Indian,35,Montana St.,93,Montana St.,37.69123840332031,-58,-20.308761596679688
494,Central Mich.,62,Marquette,70,Marquette,61.0,-8,53.0
495,Southern Ore.,63,Idaho St.,87,Idaho St.,41.890663146972656,-24,17.890663146972656
496,North Dakota St.,81,CSU Bakersfield,86,CSU Bakersfield,36.894351959228516,-5,31.894351959228516
497,Idaho,67,Washington St.,90,Washington St.,48.521002769470215,-23,25.521002769470215
498,LIFE Pacific,56,San Jose St.,93,San Jose St.,41.194061279296875,-37,4.194061279296875
499,Boston U.,40,UCLA,71,UCLA,58.53903007507324,-31,27.539030075073242
500,Pacific,66,Hawaii,76,Hawaii,40.7294921875,-10,30.7294921875
501,Mt. St. Mary (NY),48,Army West Point,101,Army West Point,32.4375,-53,-20.5625
502,Villanova,76,Saint Joseph's,83,Saint Joseph's,47.125,-7,40.125
503,Dickinson St.,54,North Dakota,85,North Dakota,30.022171020507812,-31,-0.9778289794921875
504,Dist. Columbia,64,Morgan St.,90,Morgan St.,25.521320343017578,-26,-0.4786796569824219
505,Goshen,55,IU Indy,97,IU Indy,30.29658031463623,-42,-11.70341968536377
506,Hampton,51,Providence,60,Providence,46.339834213256836,-9,37.339834213256836
507,Michigan St.,69,Kansas,77,Kansas,61.3800048828125,-8,53.3800048828125
508,Cornell,77,La Salle,93,La Salle,45.20273303985596,-16,29.202733039855957
509,Eastern Ky.,62,Clemson,75,Clemson,52.875,-13,39.875
510,Mount Olive,73,East Carolina,110,East Carolina,39.5,-37,2.5
511,N.C. A&T,80,George Washington,85,George Washington,40.943687438964844,-5,35.943687438964844
512,North Florida,77,Georgia,90,Georgia,52.610870361328125,-13,39.610870361328125
513,Fla. Atlantic,94,UCF,100,UCF,47.77423095703125,-6,41.77423095703125
514,Loyola Maryland,68,NJIT,50,NJIT,22.015625,18,40.015625
515,Rider,90,Navy,79,Navy,33.2579345703125,11,44.2579345703125
516,UMES,70,Miami (OH),88,Miami (OH),40.250061988830566,-18,22.250061988830566
517,Lehigh,75,Columbia,76,Columbia,39.875816345214844,-1,38.875816345214844
518,Delaware,64,Iona,58,Iona,33.48098945617676,6,39.48098945617676
519,Towson,54,South Carolina,80,South Carolina,46.75,-26,20.75
520,CarolinaU,45,Liberty,81,Liberty,48.06564807891846,-36,12.065648078918457
521,Saint Francis,62,Penn St.,92,Penn St.,55.418678283691406,-30,25.418678283691406
522,Tarleton St.,52,Florida St.,72,Florida St.,51.0,-20,31.0
523,Bethune-Cookman,69,Purdue Fort Wayne,91,Purdue Fort Wayne,44.45025634765625,-22,22.45025634765625
524,American,66,Siena,74,Siena,33.2109375,-8,25.2109375
525,Drexel,61,Temple,69,Temple,43.40625,-8,35.40625
526,Mercy,71,Manhattan,88,Manhattan,32.11865234375,-17,15.11865234375
527,Colgate,72,Syracuse,74,Syracuse,44.265625,-2,42.265625
528,Binghamton,63,Fordham,78,Fordham,35.90625,-15,20.90625
529,Old Dominion,75,Radford,87,Radford,38.037353515625,-12,26.037353515625
530,West Ga.,73,Tennessee Tech,76,Tennessee Tech,30.19811248779297,-3,27.19811248779297
531,Monmouth,66,NIU,79,NIU,24.0,-13,11.0
532,Penn,63,Lafayette,65,Lafayette,33.494476318359375,-2,31.494476318359375
533,SIUE,77,Indiana St.,72,Indiana St.,37.97263717651367,5,42.97263717651367
534,Mary Baldwin,52,James Madison,100,James Madison,41.66998291015625,-48,-6.33001708984375
535,UIC,74,Northwestern,83,Northwestern,51.85548400878906,-9,42.85548400878906
536,Gwynedd Mercy,54,Delaware St.,70,Delaware St.,31.5625,-16,15.5625
537,Norfolk St.,73,William & Mary,84,William & Mary,36.697662353515625,-11,25.697662353515625
538,Fairfield,62,New Hampshire,56,New Hampshire,22.375,6,28.375
539,Franklin Pierce,73,Rhode Island,105,Rhode Island,46.292715072631836,-32,14.292715072631836
540,Christendom,56,VMI,102,VMI,31.4375,-46,-14.5625
541,Ark.-Pine Bluff,69,South Fla.,85,South Fla.,38.23003387451172,-16,22.23003387451172
542,N.C. Central,60,High Point,76,High Point,44.0,-16,28.0
543,LeTourneau,68,SFA,87,SFA,35.5,-19,16.5
544,Southeastern La.,59,Mississippi St.,80,Mississippi St.,59.0,-21,38.0
545,Texas Southern,62,Georgia Tech,81,Georgia Tech,42.76759338378906,-19,23.767593383789062
546,Rhodes,52,Samford,108,Samford,46.603515625,-56,-9.396484375
547,ULM,50,Rice,66,Rice,39.31210708618164,-16,23.31210708618164
548,Cleveland St.,75,Valparaiso,67,Valparaiso,38.071725845336914,8,46.071725845336914
549,South Alabama,54,Ole Miss,64,Ole Miss,59.0,-10,49.0
550,Texas St.,71,TCU,76,TCU,52.66089630126953,-5,47.66089630126953
551,Ohio,75,Illinois St.,85,Illinois St.,43.1328125,-10,33.1328125
552,UTSA,72,Bradley,85,Bradley,46.970703125,-13,33.970703125
553,Little Rock,63,Arkansas St.,80,Arkansas St.,44.92603874206543,-17,27.92603874206543
554,Belmont,80,Lipscomb,79,Lipscomb,47.21303939819336,1,48.21303939819336
555,Sam Houston,67,Baylor,104,Baylor,60.4375,-37,23.4375
556,Chicago St.,58,Texas,105,Texas,58.5625,-47,11.5625
557,McMurry,55,Abilene Christian,101,Abilene Christian,31.8193359375,-46,-14.1806640625
558,Loyola (LA),65,Southern Miss.,104,Southern Miss.,34.387901306152344,-39,-4.612098693847656
559,Prairie View,81,UIW,84,UIW,35.890777587890625,-3,32.890777587890625
560,Campbellsville,76,Western Ky.,104,Western Ky.,46.306640625,-28,18.306640625
561,Colo. Christian,56,Northern Colo.,113,Northern Colo.,39.30857753753662,-57,-17.69142246246338
562,Bethesda (CA),54,Southern Utah,107,Southern Utah,37.0,-53,-16.0
563,Jackson St.,57,Xavier,94,Xavier,56.079010009765625,-37,19.079010009765625
564,Queens (NC),65,Utah,96,Utah,54.91191482543945,-31,23.911914825439453
565,Corban,65,Boise St.,100,Boise St.,50.53125,-35,15.53125
566,Denver,65,Colorado St.,74,Colorado St.,45.25,-9,36.25
567,Tex. Permian Basin,58,UTEP,78,UTEP,47.0009765625,-20,27.0009765625
568,Duke,72,Kentucky,77,Kentucky,64.28585815429688,-5,59.285858154296875
569,A&M-Corpus Christi,81,New Mexico,100,New Mexico,49.0,-19,30.0
570,Menlo,70,UC Davis,80,UC Davis,37.3125,-10,27.3125
571,South Dakota,77,Iowa,96,Iowa,56.85523223876953,-19,37.85523223876953
572,Northern Ariz.,64,Stanford,90,Stanford,48.0,-26,22.0
573,Sacramento St.,54,UC San Diego,64,UC San Diego,53.801963806152344,-10,43.801963806152344
574,Portland St.,85,San Diego,76,San Diego,29.0,9,38.0
575,UC Riverside,70,California Baptist,69,California Baptist,39.3125,1,40.3125
576,Occidental,49,San Diego St.,100,San Diego St.,56.762901306152344,-51,5.762901306152344
577,Akron,68,Saint Mary's (CA),87,Saint Mary's (CA),51.30638122558594,-19,32.30638122558594
578,Portland,70,Oregon,80,Oregon,61.0,-10,51.0
579,Western Ore.,58,Oregon St.,94,Oregon St.,50.53125,-36,14.53125
580,UAlbany,87,Dartmouth,73,Dartmouth,31.20465087890625,14,45.20465087890625
581,Louisiana Tech,76,Massachusetts,66,Massachusetts,39.0,10,49.0
582,Southern Ind.,71,Bellarmine,69,Bellarmine,24.193302154541016,2,26.193302154541016
583,Wagner,45,St. John's (NY),66,St. John's (NY),57.9224910736084,-21,36.9224910736084
584,Montana,57,Tennessee,92,Tennessee,67.0,-35,32.0
585,Canisius,52,Mercyhurst,62,Mercyhurst,26.98967933654785,-10,16.98967933654785
586,Georgia St.,67,Jacksonville St.,72,Jacksonville St.,43.70654296875,-5,38.70654296875
587,Harvard,56,Northeastern,78,Northeastern,37.03664207458496,-22,15.036642074584961
588,Milwaukee,62,Longwood,76,Longwood,36.133544921875,-14,22.133544921875
589,St. Bonaventure,74,FGCU,65,FGCU,40.40625,9,49.40625
590,Ball St.,69,Dayton,77,Dayton,54.8515625,-8,46.8515625
591,Bryan,59,Kennesaw St.,94,Kennesaw St.,38.63145065307617,-35,3.631450653076172
592,Wofford,68,Presbyterian,71,Presbyterian,36.03466796875,-3,33.03466796875
593,Mount St. Mary's,93,Bucknell,89,Bucknell,36.25688362121582,4,40.25688362121582
594,Le Moyne,49,UConn,90,UConn,60.875,-41,19.875
595,Central Mich.,70,George Mason,69,George Mason,49.25,1,50.25
596,Tennessee St.,84,Howard,88,Howard,33.201011657714844,-4,29.201011657714844
597,Newberry,40,Campbell,83,Campbell,35.72271728515625,-43,-7.27728271484375
598,Wright St.,77,Toledo,86,Toledo,41.0,-9,32.0
599,Richmond,48,Charlotte,65,Charlotte,31.0,-17,14.0
600,Truett-McConnell,64,Western Caro.,99,Western Caro.,25.00341796875,-35,-9.99658203125
601,USC Upstate,80,Wake Forest,85,Wake Forest,44.25,-5,39.25
602,Emerson,46,Yale,100,Yale,51.86102294921875,-54,-2.13897705078125
603,Tusculum,54,ETSU,82,ETSU,40.62460803985596,-28,12.624608039855957
604,Trinity Baptist,43,Mercer,101,Mercer,38.0,-58,-20.0
605,Coastal Carolina,70,NC State,82,NC State,48.26335144042969,-12,36.26335144042969
606,Merrimack,42,VCU,63,VCU,52.91224479675293,-21,31.91224479675293
607,Evansville,63,Middle Tenn.,80,Middle Tenn.,45.306640625,-17,28.306640625
608,Crowley's Ridge,38,Southeast Mo. St.,93,Southeast Mo. St.,32.300872802734375,-55,-22.699127197265625
609,Southern U.,68,East Texas A&M,70,East Texas A&M,28.1328125,-2,26.1328125
610,Randall,49,Central Ark.,108,Central Ark.,26.526161193847656,-59,-32.473838806152344
611,Oral Roberts,76,Tulsa,85,Tulsa,32.15625,-9,23.15625
612,California,69,Vanderbilt,85,Vanderbilt,56.339805603027344,-16,40.339805603027344
613,Seton Hall,48,Hofstra,49,Hofstra,41.339805603027344,-1,40.339805603027344
614,Green Bay,87,Western Ill.,73,Western Ill.,26.802143096923828,14,40.80214309692383
615,North Texas,54,Minnesota,51,Minnesota,43.25,3,46.25
616,Louisiana,45,Houston,91,Houston,70.46302032470703,-46,24.46302032470703
617,Kent St.,56,Auburn,79,Auburn,72.0,-23,49.0
618,Troy,49,Arkansas,65,Arkansas,50.15625,-16,34.15625
619,Fisk,69,Alabama A&M,103,Alabama A&M,20.82607936859131,-34,-13.173920631408691
620,FDU,60,Nebraska,86,Nebraska,57.375003814697266,-26,31.375003814697266
621,Wyoming,49,Texas Tech,96,Texas Tech,59.66176128387451,-47,12.661761283874512
622,Cal St. Fullerton,53,Colorado,83,Colorado,48.16218948364258,-30,18.162189483642578
623,Bethesda (CA),59,Utah Tech,90,Utah Tech,31.5,-31,0.5
624,Queens (NC),55,BYU,99,BYU,54.12101936340332,-44,10.12101936340332
625,Houston Christian,43,Creighton,78,Creighton,55.25,-35,20.25
626,Oakland,54,Illinois,66,Illinois,65.25,-12,53.25
627,Westminster (UT),53,Utah St.,117,Utah St.,57.0,-64,-7.0
628,Long Beach St.,54,San Francisco,84,San Francisco,49.37135601043701,-30,19.37135601043701
