year,team,conference,logo
2023,"Northern Colo.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-colo.svg
2023,"Northern Ky.",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ky.svg
2023,Northwestern,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg
2023,"Northwestern St.",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern-st.svg
2023,"Notre Dame",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg
2023,Oakland,Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oakland.svg
2023,Ohio,MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg
2023,"Ohio St.","Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
2023,Oklahoma,"Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg
2023,"Oklahoma St.","Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma-st.svg
2023,"Old Dominion","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/old-dominion.svg
2023,"Ole Miss",SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ole-miss.svg
2023,Omaha,"Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/neb-omaha.svg
2023,"Oral Roberts","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg
2023,Oregon,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
2023,"Oregon St.",Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
2023,Pacific,WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pacific.svg
2023,Penn,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg
2023,"Penn St.","Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg
2023,Pepperdine,WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pepperdine.svg
2023,Pittsburgh,ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburgh.svg
2023,Portland,WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/portland.svg
2023,"Portland St.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/portland-st.svg
2023,"Prairie View",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/prairie-view.svg
2023,Presbyterian,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/presbyterian.svg
2023,Princeton,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/princeton.svg
2023,Providence,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg
2023,Purdue,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
2023,"Purdue Fort Wayne",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ipfw.svg
2023,"Queens (NC)",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg
2023,Quinnipiac,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/quinnipiac.svg
2023,Radford,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/radford.svg
