,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
423,2023-11-11,Omaha,64,North Texas,75,North Texas,22.640625,-11,16.640625
424,2023-11-11,Cal Poly,66,Wyoming,80,Wyoming,18.875,-14,9.875
425,2023-11-11,Long Beach St.,77,DePaul,73,DePaul,15.296875,4,24.296875
426,2023-11-11,San Diego,63,UC San Diego,69,UC San Diego,19.5,-6,18.5
427,2023-11-11,New Mexico St.,74,UC Irvine,91,UC Irvine,24.5,-17,12.5
428,2023-11-11,La Sierra,48,Cal St. Fullerton,78,Cal St. Fullerton,11.96875,-30,-13.03125
429,2023-11-12,Bryant,57,Rutgers,66,Rutgers,23.296875,-9,19.296875
430,2023-11-12,Penn St.-Wilkes Barre,60,Morgan St.,78,Morgan St.,2.9375,-18,-10.0625
431,2023-11-12,Eastern Wash.,73,Cincinnati,85,Cincinnati,31.0,-12,24.0
432,2023-11-12,Maryland,63,UAB,66,UAB,17.0,-3,19.0
433,2023-11-12,Idaho St.,55,Iowa St.,86,Iowa St.,39.5,-31,13.5
434,2023-11-12,Air Force,57,Delaware,65,Delaware,20.28125,-8,17.28125
435,2023-11-12,Friends,65,Wichita St.,95,Wichita St.,21.2734375,-30,-3.7265625
436,2023-11-12,Elon,68,North Dakota,85,North Dakota,7.625,-17,-4.375
437,2023-11-12,San Jose St.,42,Texas Tech,56,Texas Tech,24.5,-14,15.5
438,2023-11-12,Lehigh,68,North Carolina,90,North Carolina,34.734375,-22,17.734375
439,2023-11-12,Tex. A&M-Commerce,64,Purdue Fort Wayne,86,Purdue Fort Wayne,26.703125,-22,9.703125
440,2023-11-12,Davidson,65,Clemson,68,Clemson,36.484375,-3,38.484375
441,2023-11-12,Sam Houston,70,Oklahoma St.,85,Oklahoma St.,24.4765625,-15,14.4765625
442,2023-11-12,Merrimack,71,Maine,65,Maine,12.0,6,23.0
443,2023-11-12,Howard,86,James Madison,107,James Madison,30.15625,-21,14.15625
444,2023-11-12,Lafayette,53,Pepperdine,76,Pepperdine,13.125,-23,-4.875
445,2023-11-12,San Francisco,58,Boise St.,63,Boise St.,27.8125,-5,27.8125
446,2023-11-12,CarolinaU,48,USC Upstate,106,USC Upstate,9.859375,-58,-43.140625
447,2023-11-12,St. Ambrose,59,Western Ill.,94,Western Ill.,9.171875,-35,-20.828125
448,2023-11-12,Chicago St.,78,Southern Ind.,67,Southern Ind.,9.8984375,11,25.8984375
449,2023-11-12,East. Mennonite,47,Radford,84,Radford,21.0,-37,-11.0
450,2023-11-12,Gardner-Webb,62,Baylor,77,Baylor,39.0625,-15,29.0625
451,2023-11-12,N.C. Central,54,Georgia,64,Georgia,23.0,-10,18.0
452,2023-11-12,North Central (MN),54,St. Thomas (MN),100,St. Thomas (MN),20.5,-46,-20.5
453,2023-11-12,Linfield,53,Portland St.,70,Portland St.,21.0,-17,9.0
454,2023-11-12,UC Riverside,65,Portland,76,Portland,10.25,-11,4.25
455,2023-11-12,Northern Ariz.,55,Grand Canyon,89,Grand Canyon,25.53125,-34,-3.46875
456,2023-11-12,Yale,83,LMU (CA),80,LMU (CA),17.34375,3,25.34375
457,2023-11-12,Bard,36,Columbia,86,Columbia,12.9453125,-50,-32.0546875
458,2023-11-12,Keystone,50,Binghamton,104,Binghamton,15.0,-54,-34.0
459,2023-11-12,Robert Morris,62,Towson,66,Towson,18.40625,-4,19.40625
460,2023-11-12,Army West Point,64,Indiana,72,Indiana,24.125,-8,21.125
461,2023-11-12,Weber St.,61,Saint Mary's (CA),57,Saint Mary's (CA),27.078125,4,36.078125
462,2023-11-12,UC Davis,65,Montana,78,Montana,21.625,-13,13.625
463,2023-11-12,Nevada,83,Washington,76,Washington,30.8125,7,42.8125
464,2023-11-13,Ohio Christian,71,Youngstown St.,99,Youngstown St.,20.4140625,-28,-2.5859375
465,2023-11-13,Michigan,89,St. John's (NY),73,St. John's (NY),30.9375,16,51.9375
466,2023-11-13,FGCU,74,Pittsburgh,86,Pittsburgh,35.9375,-12,28.9375
467,2023-11-13,North Florida,77,South Carolina St.,87,South Carolina St.,5.6875,-10,0.6875
468,2023-11-13,Hampton,68,Norfolk St.,75,Norfolk St.,13.96875,-7,11.96875
469,2023-11-13,Mt. St. Mary (NY),45,Fairfield,92,Fairfield,11.71875,-47,-30.28125
470,2023-11-13,Central Mich.,67,Florida St.,94,Florida St.,20.265625,-27,-1.734375
471,2023-11-13,The Citadel,64,Presbyterian,71,Presbyterian,7.40625,-7,5.40625
472,2023-11-13,ETSU,47,Butler,81,Butler,29.46875,-34,0.46875
473,2023-11-13,FIU,80,Miami (FL),86,Miami (FL),32.2109375,-6,31.2109375
474,2023-11-13,JWU (Charlotte),61,Charleston So.,102,Charleston So.,1.21875,-41,-34.78125
475,2023-11-13,SUNY Canton,46,Le Moyne,105,Le Moyne,8.0,-59,-46.0
476,2023-11-13,Siena,58,American,78,American,14.25,-20,-0.75
477,2023-11-13,Brescia,72,UT Martin,90,UT Martin,14.2109375,-18,1.2109375
478,2023-11-13,Lyon,43,Louisiana Tech,100,Louisiana Tech,24.84375,-57,-27.15625
